index_num,title,location,company,summary,salary,url
20,Dutch Speaker-with basic data anlytics skills(Jr.data analys...,United States,Pactera Technologies,Help to prepare good quality data.Creating sample data and records in foreign language(Dutch).Preparing training data for machine learning model in *foreign…,$20 an hour,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BXoFhA4iqjAkDeXstmuxPnHoV-0KVyHbzy2t8uJL3YSBrOKCoR7CjtcVinu3uI8nbkg_xtfTPUyoIgw8LyzLob6FblPuFz9gnUkGNnHBaIPzpkAfgGi3wManKb9lWgmQRdLzAKyE5UCVKDtNc934lXHpa1YJzsThwgUr4h_HXokiEFI6XR6BCzlwDNeANH0SdW3moP6dwq_OJnun6PGFOExLGouOs1Xq-e4jDpsVwZuYcXvRR2XwZS7gcDdwt7_gly2hSbdHX-9BKo5ObA7wwo6NnpofHA_aBBuyK3s6Z8zQ8xLLr9K-zr3zPhKdrn50L_zRSLCpl_D1N1mC8k_QID2QKu1Z2d7xZv-RirR-6YFNTZOn8pQSagGGgZl1ZC6ShVqn1VYzv8hijHTJc32MSlP2N-09oQqTbJBiHOwS-5VkpQJtNjFD0L7vZPn1Son80AWV2XHl_yf8dnGWdwJWxsRPPFFAGtEf3IWQhwwPuPKoMEyTWYRdeu&p=9&fvj=1&vjs=3
31,Dutch Speaker-with basic data anlytics skills(Jr.data analys...,United States,Pactera Technologies,Help to prepare good quality data.Creating sample data and records in foreign language(Dutch).Preparing training data for machine learning model in *foreign…,$20 an hour,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BXoFhA4iqjAkDeXstmuxPnHoV-0KVyHbzy2t8uJL3YSBrOKCoR7CjtcVinu3uI8nbkg_xtfTPUyoIgw8LyzLob6FblPuFz9gnUkGNnHBaIPzpkAfgGi3wManKb9lWgmQRdLzAKyE5UCVKDtNc934lXHpa1YJzsThwgUr4h_HXokiEFI6XR6BCzHU199WFNonPEvUuFckBhLUnFtYnd4heXxyUldO3yDzzshjotkvE8iSv1cKywagZr6c-aU4tCwAEhRlIeq9aDoaRSbnQABkmiXotRx_MkwQgFz6--jebKiwznTTGEhvI88q7Aj9M_cdC0hVeRz6zKNLgKCFfEFbDZdhSmsZTDrhlkgpId0aqF3nHDqIqLZjTkWZ5fXjKxR4SMwSLp9saOKHV5NiOawMhpYvvlXRgWWLuN0uJKVmd6vLES-O6Anw7G4l78rAo3sGnanAZPXGsuMtkk1zXh9tDjkEk0izVtCSOBCmDJTh3HHwTfMFuvDgZ1&p=9&fvj=1&vjs=3
42,Dutch Speaker-with basic data anlytics skills(Jr.data analys...,United States,Pactera Technologies,Help to prepare good quality data.Creating sample data and records in foreign language(Dutch).Preparing training data for machine learning model in *foreign…,$20 an hour,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BXoFhA4iqjAkDeXstmuxPnHoV-0KVyHbzy2t8uJL3YSBrOKCoR7CjtcVinu3uI8nbkg_xtfTPUyoIgw8LyzLob6FblPuFz9gnUkGNnHBaIPzpkAfgGi3wManKb9lWgmQRdLzAKyE5UCVKDtNc934lXHpa1YJzsThwgUr4h_HXokiEFI6XR6BCzGWMzV4CA8SIG-80JVZ63HaeSHeAcfbQLdXorwQhH6HwGMgcA9HRpdwVWREIqHmuB5KmLQHi3DXg70kkY9UXQkvTa_8-jly1n8-GYsgavJwuiAah5nV5LO_xDlEpvH4Xvg9ygzzQoYFbATadfIAguiKDV_CaT8MYETAxxK8VCr7cfdxocjVgzbM6a58VQWNCa_iI-ALE_L7PhwVgorOeNoMaSvLWJ31vtZXggheYr2H1jYn-LE-7mAb-lDpWsTgX0z-GxHEmx71fi6V99OskyYat1Hawr9Y8Rhzj1tc1MUOg9SQmee0Hk3CCbZ3HAcTvC&p=9&fvj=1&vjs=3
54,Dutch Speaker-with basic data anlytics skills(Jr.data analys...,United States,Pactera Technologies,Help to prepare good quality data.Creating sample data and records in foreign language(Dutch).Preparing training data for machine learning model in *foreign…,$20 an hour,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BXoFhA4iqjAkDeXstmuxPnHoV-0KVyHbzy2t8uJL3YSBrOKCoR7CjtcVinu3uI8nbkg_xtfTPUyoIgw8LyzLob6FblPuFz9gnUkGNnHBaIPzpkAfgGi3wManKb9lWgmQRdLzAKyE5UCVKDtNc934lXHpa1YJzsThwgUr4h_HXokiEFI6XR6BCzrnfXfwEEUtYAOvAie7PmNx8XrulgmzyWQk9adGdZr_t8j0aYyR4E-pdXx2bcutlOpNfYS250Ox-4YKx8F1wxUAvn5q0jjbBr-tGLMb4XuHjxVIwYZ9UzpSE-49BngnRrf-DQTa1U52bwnMTHZp2hLe3TTy8D1AuQZT6LH5FQ9anhu-BlMDzGIn9bKczDD_MZYT5H6l4NbQNoWx-9vrBt7hnSvQZQp5JnYebV6hsf1Zmv6855bgaN56wQNUq2jJ0alTjjB9-yZL1k20dpG2Rr__JJcUMIX1u-FePJpc88TxoVKD7LE29emQ==&p=10&fvj=1&vjs=3
64,Dutch Speaker-with basic data anlytics skills(Jr.data analys...,United States,Pactera Technologies,Help to prepare good quality data.Creating sample data and records in foreign language(Dutch).Preparing training data for machine learning model in *foreign…,$20 an hour,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BXoFhA4iqjAkDeXstmuxPnHoV-0KVyHbzy2t8uJL3YSBrOKCoR7CjtcVinu3uI8nbkg_xtfTPUyoIgw8LyzLob6FblPuFz9gnUkGNnHBaIPzpkAfgGi3wManKb9lWgmQRdLzAKyE5UCVKDtNc934lXHpa1YJzsThwgUr4h_HXokiEFI6XR6BCzZ6Sko8eAZOa8l9HF_jsVUMTXZjYuzvjl6lCm1qFyPj9vKvVaS5OcKfBY6Taq4apKjAiFKMaaByVUSPQC8Da2Azb7psBc_8tzBLy1cb25JWUsEmqHK5pHE5T8ntQSyyfSVDivSWrDPFqSx64FK_XFp0w5pJvJSsGvtOtqizSjIoZGUqg_QoTWRowgeEwixnEyvQxX4WNTYygAbbmR97iJOGbi_qR9g6vG0ns9vtCHdcL_LzgCdmEcKJ7n57aecZlB9iBhAFCy6HJ9fpCu3SqCDxOfD_ki2Jw9EDZiDVOWc7lGPPlXEnHexnZf0YmRIEcj&p=9&fvj=1&vjs=3
75,Dutch Speaker-with basic data anlytics skills(Jr.data analys...,United States,Pactera Technologies,Help to prepare good quality data.Creating sample data and records in foreign language(Dutch).Preparing training data for machine learning model in *foreign…,$20 an hour,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BXoFhA4iqjAkDeXstmuxPnHoV-0KVyHbzy2t8uJL3YSBrOKCoR7CjtcVinu3uI8nbkg_xtfTPUyoIgw8LyzLob6FblPuFz9gnUkGNnHBaIPzpkAfgGi3wManKb9lWgmQRdLzAKyE5UCVKDtNc934lXHpa1YJzsThwgUr4h_HXokiEFI6XR6BCzIhhGAzFV8AxG1o1tzFy3l7-DE8uN2HVq6XcCcXT97r3kr4TwJ5sCJcY4VMyRRCCSi4WQD4RS8k8l4KYIyVtPq3Wtw0TAw9kF-kJYuiqm46aDWyl3-VhCs4TdGZb2fetbfOJv-wTsxGeT6x5s_UcFDfJZd3WRITl0JaxetBVtKRDkU4Ya1qlQUtDb29X0A1jXG5nZF8G135LnmKj920qHZpK3aVq95nax8hhnQ77Qzt0L4GOwu65-geMDLTjamva-7WP-Rv_jAgGp89WzoNs3GuLAualffT7YWtIHTKLguRHuOjcq-BQgz2lyI5ivoHSe&p=9&fvj=1&vjs=3
80,Business Analyst,"Anchorage, AK 99503 (Midtown area)",Resource Data,You’ve gained technical skills so that you can identify data element inconsistencies between systems.You’ve been able to work with disparate business systems…,,https://indeed.com/rc/clk?jk=168be599095dd74b&fccid=9e1d7cf744d88921&vjs=3
83,"Management and Program Analyst, GS-343-12 / 13","Kodiak, AK",US Department of Homeland Security,"The Department of Homeland Security encourages persons with disabilities to apply, to include persons with intellectual, severe physical or psychiatric…","$77,488 - $146,120 a year",https://indeed.com/rc/clk?jk=44fd80c628f9effb&fccid=e3977494b2ebf993&vjs=3
86,Dutch Speaker-with basic data anlytics skills(Jr.data analys...,United States,Pactera Technologies,Help to prepare good quality data.Creating sample data and records in foreign language(Dutch).Preparing training data for machine learning model in *foreign…,$20 an hour,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BXoFhA4iqjAkDeXstmuxPnHoV-0KVyHbzy2t8uJL3YSBrOKCoR7CjtcVinu3uI8nbkg_xtfTPUyoIgw8LyzLob6FblPuFz9gnUkGNnHBaIPzpkAfgGi3wManKb9lWgmQRdLzAKyE5UCVKDtNc934lXHpa1YJzsThwgUr4h_HXokiEFI6XR6BCzUUvMPM095T52wVZU8nDW27A_p1D5_9YIi6Haan5LsUDTKmB1buq9CqnExT1p0T4RgEZeR3HpGCmbIIEKBNBFwFSEghrQQ7AZcrkJqI8LAscHRXNb5uRY8ET8pe3V23WLCH05kitvebR-KhwHg6_9Cvm_GNQqb-02n9UI5RMMwWWCavdf_9XpxQuE9UVNyDBCLK4QhBP4kmRl_VFJkNpB9PxxAd0sM8PuCJUZAI1gwrD0q-Gny4UxTcbkGw1lsYMcpgjL9jG3pJr1kRfxkWSx8D_IJrHP5nzErLe8_YoMU7pINiFvGjevFFCPnNjdAEng&p=9&fvj=1&vjs=3
97,Dutch Speaker-with basic data anlytics skills(Jr.data analys...,United States,Pactera Technologies,Help to prepare good quality data.Creating sample data and records in foreign language(Dutch).Preparing training data for machine learning model in *foreign…,$20 an hour,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BXoFhA4iqjAkDeXstmuxPnHoV-0KVyHbzy2t8uJL3YSBrOKCoR7CjtcVinu3uI8nbkg_xtfTPUyoIgw8LyzLob6FblPuFz9gnUkGNnHBaIPzpkAfgGi3wManKb9lWgmQRdLzAKyE5UCVKDtNc934lXHpa1YJzsThwgUr4h_HXokiEFI6XR6BCzGAxWCbsUZyxKaTQwbQHY3MKrMZpn86YXHZfl_XnKxM0-os9piYFzVgrh-hvWZkLXTXAqGr4-CdmbEpkgqJ0PaRlLO7au-TXR1iwnUjzN26UGp6mY3AmV4z1N9WEpdYbgumZ5zhD_3XRdvvhfEHUtvOqUZER8ikI2DV2W7R_WGPIUL7IAdg1DnV_rYeYuXFlxhCr0QwWHz0iTjdlaiDzJM50PokKCjo5SUOuuvnpl8JPNHYC5NDdVuINWsHFiwSq3_0etRd34lUy8zP4iWbz4UTbyCyG5CsbSBZil0tGVLJ_7XFT2jmnruNGJbZtf3O75&p=9&fvj=1&vjs=3
108,Dutch Speaker-with basic data anlytics skills(Jr.data analys...,United States,Pactera Technologies,Help to prepare good quality data.Creating sample data and records in foreign language(Dutch).Preparing training data for machine learning model in *foreign…,$20 an hour,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BXoFhA4iqjAkDeXstmuxPnHoV-0KVyHbzy2t8uJL3YSBrOKCoR7CjtcVinu3uI8nbkg_xtfTPUyoIgw8LyzLob6FblPuFz9gnUkGNnHBaIPzpkAfgGi3wManKb9lWgmQRdLzAKyE5UCVKDtNc934lXHpa1YJzsThwgUr4h_HXokiEFI6XR6BCzFp9UgK8tP72s45YCl-uinBONb-xtmnU7BzlhVMHrmMUq8-q3H7eauvhcybyYsf567DtMPFnykcC5JpYXzzRYkBIOzX5oY37bQoqmKcCSDH1UkDK8AXOims28BMGEdAK_G3bjKY7VGy7zZjWGAW7m61QlfymqZ06Ce6X2671EGYkcqp5xvMQKHlfhzbsQqnV7cIyNXBOYQndlm2bGKRz_g4suUvx99Zj3zRaY1Fii8hjDQ_cMORyrMv_megcmBjgdtGPuL3fJLcPQsip_SrTuU3AtxVHITA8r6TtwP3NSyI_JPn9chrtKgQz3s_XyQ3xk&p=9&fvj=1&vjs=3
119,Dutch Speaker-with basic data anlytics skills(Jr.data analys...,United States,Pactera Technologies,Help to prepare good quality data.Creating sample data and records in foreign language(Dutch).Preparing training data for machine learning model in *foreign…,$20 an hour,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BXoFhA4iqjAkDeXstmuxPnHoV-0KVyHbzy2t8uJL3YSBrOKCoR7CjtcVinu3uI8nbkg_xtfTPUyoIgw8LyzLob6FblPuFz9gnUkGNnHBaIPzpkAfgGi3wManKb9lWgmQRdLzAKyE5UCVKDtNc934lXHpa1YJzsThwgUr4h_HXokiEFI6XR6BCzJaMeYCeFvNXDBMK2vS9kmzcSEGssXTffAM1_7PSuwsM5BL4tR1m0YyvCKZnn_UdsO0kj46fa9Fatm__T_BHePk1s0ggjdMXqwRIxn6JS6Qcb2fxLri30fNJTNR55IpMShMmvPZbEIaiqugHIBE-1YPRugN2r7ea0pYRcI2CDbZClCSu8d-dAp0PQLAFLol3S1ZbAYjyV2QCD_5MR0_ZyeJe-lf-j9i04ON4U-Ol_MrOlvejjb_bCAp7XhmeacHGU_twV9oK1t3Jr9kESGeIt5Z2SIMtr0xg7v2CHelfLgv26C3j3Pj8FiwNenjJkDaWx&p=9&fvj=1&vjs=3
130,Dutch Speaker-with basic data anlytics skills(Jr.data analys...,United States,Pactera Technologies,Help to prepare good quality data.Creating sample data and records in foreign language(Dutch).Preparing training data for machine learning model in *foreign…,$20 an hour,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BXoFhA4iqjAkDeXstmuxPnHoV-0KVyHbzy2t8uJL3YSBrOKCoR7CjtcVinu3uI8nbkg_xtfTPUyoIgw8LyzLob6FblPuFz9gnUkGNnHBaIPzpkAfgGi3wManKb9lWgmQRdLzAKyE5UCVKDtNc934lXHpa1YJzsThwgUr4h_HXokiEFI6XR6BCzyaYNNNi5vb_0YS2Vjl9dQZ83PR-2y1d4avBBsDcsv-5LWYmI_5HmFLEKQMDkzyzdwfOpJVMgbBFL3OwuiWQBmzJySr3XPDaoIJRDjgVWL8QikRsiANf4GZSTRtKVzwp5kZwGUfjlkMknpk6UFW1kX4iyBqipGARUGO7siAM7ijN7XhW4NXa8CPeoQhk7Vz19DudDitl2k1E6chPd5WqscvvrkYbtu-_cNZpr_hKiWaTqGZUf6DUvQZq69RZmGUN2ScxNnPiolILFgb-d20ZK_8woFMJY86duTFQ4vxzLtqjiWpYtMQubWqFjY596J3zY&p=9&fvj=1&vjs=3
141,Dutch Speaker-with basic data anlytics skills(Jr.data analys...,United States,Pactera Technologies,Help to prepare good quality data.Creating sample data and records in foreign language(Dutch).Preparing training data for machine learning model in *foreign…,$20 an hour,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BXoFhA4iqjAkDeXstmuxPnHoV-0KVyHbzy2t8uJL3YSBrOKCoR7CjtcVinu3uI8nbkg_xtfTPUyoIgw8LyzLob6FblPuFz9gnUkGNnHBaIPzpkAfgGi3wManKb9lWgmQRdLzAKyE5UCVKDtNc934lXHpa1YJzsThwgUr4h_HXokiEFI6XR6BCzxe9USVaJxT3NoMdqyHoRfoGSY5o1YQSTntJbqcXK-tRnarFnAubP-SLIekopR7mySS4Co4KzjNwQ0PFhGnzem3Yz63AKabkJYUed3sBN-cgfDhwEreft_ZcIkd-wzZD4c3ks7_fUp1xFWc5pnPv3gzicodChI4Wujct2bLMOSjqOhuLHmnkTTWifdnEQoDeIaBHsnOxUVA9pQ4-Vk83uv8KDHu6KG4vlBMm6duC4aVbxtZgxLfICyksqY7VEVaOBdEHQ29HDg6e975TyE9RZt3jcrGwIsRD8rTouXeATI_3ku4tdAlezJOqcQu-DjbXA&p=9&fvj=1&vjs=3
152,Dutch Speaker-with basic data anlytics skills(Jr.data analys...,United States,Pactera Technologies,Help to prepare good quality data.Creating sample data and records in foreign language(Dutch).Preparing training data for machine learning model in *foreign…,$20 an hour,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BXoFhA4iqjAkDeXstmuxPnHoV-0KVyHbzy2t8uJL3YSBrOKCoR7CjtcVinu3uI8nbkg_xtfTPUyoIgw8LyzLob6FblPuFz9gnUkGNnHBaIPzpkAfgGi3wManKb9lWgmQRdLzAKyE5UCVKDtNc934lXHpa1YJzsThwgUr4h_HXokiEFI6XR6BCzSlvVxAuy-yb7IAjI5yxtmCLWgdiH0PgFJoK6z-T7EWDiy9hU56NtWRBmPcLNNFFO4SOGbGViMNvu0dM5_BGzQEJfB2F68uGba6wZ_wRWzDXpvdQKEha_o-g8209lJ3MbpKKgldlQn36IYyYYrCenwkbWjjy6X-FTF6KsLvk4PRNILkfHtif_O2yvWWOG-5LHjf3UHvxtJuq1sYPEDcMl_ob033_h1bldrM4bKBVo7X4LLm4NSp2sOsWiZYKZJgcS5S40X5crd5Nc1aS4bJXCbJheZAadjkjIls_nWOWi_w3b5aR90LLctixmAmYW2Utl&p=9&fvj=1&vjs=3
163,Dutch Speaker-with basic data anlytics skills(Jr.data analys...,United States,Pactera Technologies,Help to prepare good quality data.Creating sample data and records in foreign language(Dutch).Preparing training data for machine learning model in *foreign…,$20 an hour,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BXoFhA4iqjAkDeXstmuxPnHoV-0KVyHbzy2t8uJL3YSBrOKCoR7CjtcVinu3uI8nbkg_xtfTPUyoIgw8LyzLob6FblPuFz9gnUkGNnHBaIPzpkAfgGi3wManKb9lWgmQRdLzAKyE5UCVKDtNc934lXHpa1YJzsThwgUr4h_HXokiEFI6XR6BCzjWHZFT-mAykW6Cl72GG4rwYLXdQmhDfpcpq5PMhUMaJvWuv86CfJpInjMJ2TCE7XylM5HFzEyIb0KLg1iPRcIuOqdu5dfWeaiN5i_m72maivebJSJ_UYk_4R0E_91xwBq6pD-pFQqIEa1wILYWbLY2Gzc5H3Cm6K2dL5SxD1kxp5OVBFP6yHeMPwGfW9cius9CPBlsjsVsNeQRTCdmmbaxSmUnTiQinAL_7rmxt8T_HkvvHmAe95wH_66fGAGUT2KpV42WFyTlgYduRxcfG4nrHXfx1QeJ24AcRv1OYHnYzYXxgWDzsr5HsORLWvVIAO&p=9&fvj=1&vjs=3
174,Dutch Speaker-with basic data anlytics skills(Jr.data analys...,United States,Pactera Technologies,Help to prepare good quality data.Creating sample data and records in foreign language(Dutch).Preparing training data for machine learning model in *foreign…,$20 an hour,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BXoFhA4iqjAkDeXstmuxPnHoV-0KVyHbzy2t8uJL3YSBrOKCoR7CjtcVinu3uI8nbkg_xtfTPUyoIgw8LyzLob6FblPuFz9gnUkGNnHBaIPzpkAfgGi3wManKb9lWgmQRdLzAKyE5UCVKDtNc934lXHpa1YJzsThwgUr4h_HXokiEFI6XR6BCz_wB4NVLcIACuEryG4zQE3x6X1ZENJ-6mGSufSONZwe6eXhKlihq2Ye9Ibd984FFLv-_z1lOM15-LQlcsefIz0dltQ23E76pDCLRpLAGuA9L5TRTxEBxnuYOr7fTWr8WL0-vPoN776gfZBBUUoRoAOkAEbJbBaiifljzpoB6k0dOCWp-ajPsnC_AsB8ciTheJuX4phi8tMvYVtZAAAzaQApWPpzcnMS3HLxnRbCtRxsQy71q-Y8rGBUTUk9yNCIZ9UJ8mwHFORBYK8YFH9l2qZq611rFn3b73GLGuLabdGz44F90iAm3N9lL3Kh6KyjE0&p=9&fvj=1&vjs=3
185,Dutch Speaker-with basic data anlytics skills(Jr.data analys...,United States,Pactera Technologies,Help to prepare good quality data.Creating sample data and records in foreign language(Dutch).Preparing training data for machine learning model in *foreign…,$20 an hour,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BXoFhA4iqjAkDeXstmuxPnHoV-0KVyHbzy2t8uJL3YSBrOKCoR7CjtcVinu3uI8nbkg_xtfTPUyoIgw8LyzLob6FblPuFz9gnUkGNnHBaIPzpkAfgGi3wManKb9lWgmQRdLzAKyE5UCVKDtNc934lXHpa1YJzsThwgUr4h_HXokiEFI6XR6BCzKEF5eW7A-3Bo4fr08LWXxaW_8YI3PzGt6fGEvmTwLLDvXLXKgoZlorpnJOP461xY1naRI763AACAZjar-zAUK8mCM3vjFxgbwB0HpslUBwExUUFE9GRP4BcWRuTvk1UFOLMJ07bTmPbpRMpuk0DnDVQ4z5aAG4OOGL_5yQJcj63LaIt9S8mctL-hatTCkfSmWXlQP7Bpr4RvUVOI9muswjlp8iAr1-hw2Rbd4rt3UefZUwcyReXmpEgkkIrKnPtcaHqwURErPIDp9frg5gxs_mryC1BzHwfOvAwNU-BKjjL9_e86YeX59w-sVRR56atD&p=9&fvj=1&vjs=3
196,Dutch Speaker-with basic data anlytics skills(Jr.data analys...,United States,Pactera Technologies,Help to prepare good quality data.Creating sample data and records in foreign language(Dutch).Preparing training data for machine learning model in *foreign…,$20 an hour,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BXoFhA4iqjAkDeXstmuxPnHoV-0KVyHbzy2t8uJL3YSBrOKCoR7CjtcVinu3uI8nbkg_xtfTPUyoIgw8LyzLob6FblPuFz9gnUkGNnHBaIPzpkAfgGi3wManKb9lWgmQRdLzAKyE5UCVKDtNc934lXHpa1YJzsThwgUr4h_HXokiEFI6XR6BCzWoe9-UepM_8xfzzocI3RZ__zoHO23COqTdk-MXjvrSx8Go_WZO-t757C5ELrKxTx9v2anKORTLR0CJ58QBfoHeuzw1LeN1kkQgRwFVxRtlG3O7txVY_yjWYbIHTDI2h10f-A6XDuKKnF7KSmhymp_A2kwOUIhSzBArd1nLQUoLESEONoML5R81nBb2SWmyr7g6OASNYNSjKiyb5i2wkq6HcOskyEvrJNiwDN6ZXdw9xHvG7_duBHBqMpbNpc1irOBzhokfo7gOpsp6ES5UIkAZ8hJS1rHYKiBEWCUL5Y5NHIQggmdXrh8s_TCOI8VHj_&p=9&fvj=1&vjs=3
207,Dutch Speaker-with basic data anlytics skills(Jr.data analys...,United States,Pactera Technologies,Help to prepare good quality data.Creating sample data and records in foreign language(Dutch).Preparing training data for machine learning model in *foreign…,$20 an hour,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BXoFhA4iqjAkDeXstmuxPnHoV-0KVyHbzy2t8uJL3YSBrOKCoR7CjtcVinu3uI8nbkg_xtfTPUyoIgw8LyzLob6FblPuFz9gnUkGNnHBaIPzpkAfgGi3wManKb9lWgmQRdLzAKyE5UCVKDtNc934lXHpa1YJzsThwgUr4h_HXokiEFI6XR6BCz_UCGdNKSR6hAh6n63WOkyAPagDwpQLI__mKAkvXNWFYOrH4FqbErY5Tp_XwP75oNY5u513xTzPfJ4JkxYYwlC4vyYJ6a0MlToCYR4DBPo4cqd5IFSl0Yq1vW0PpIZPt7QvzLrE21xWs7L3y8j9k7d26GgNN5f-c7psT6kIYMvLxuwp6FSG6cyTCgS82rpZ5AylxoAnZQ3FRNqxh2_4OzuqKfP3VNG31orhlp3_2geXb8h57zTMr8kP3DzwqAiKY6XXnhjEN6XgXFTJRRSo_Zch4kwe3PYzPfbRdx8gayFCkDOBNb-YhuOK6qD4-jelGq&p=9&fvj=1&vjs=3
